Year,Round,Event,Driver,LapNumber,LapTime,GapToWinner,TyreLife,Stint,StintLap,TireDegradation,Compound_SOFT,Compound_MEDIUM,Compound_HARD,TrackTemp
2024,1,Bahrain Grand Prix,NOR,39.0,94.88,30.739,6.0,3.0,6.0,-0.26900000000000546,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,40.0,95.276,33.011,7.0,3.0,7.0,0.3960000000000008,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,41.0,95.069,31.698,8.0,3.0,8.0,-0.20699999999999363,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,42.0,95.165,31.477,9.0,3.0,9.0,0.09600000000000364,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,43.0,95.295,31.975,10.0,3.0,10.0,0.12999999999999545,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,44.0,95.346,33.119,11.0,3.0,11.0,0.05100000000000193,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,45.0,95.338,33.934,12.0,3.0,12.0,-0.008000000000009777,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,46.0,95.371,35.023,13.0,3.0,13.0,0.03300000000000125,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,47.0,95.485,36.201,14.0,3.0,14.0,0.11400000000000432,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,48.0,95.717,37.447,15.0,3.0,15.0,0.23199999999999932,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,49.0,95.674,38.814,16.0,3.0,16.0,-0.042999999999992156,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,50.0,95.657,40.085,17.0,3.0,17.0,-0.017000000000010118,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,51.0,96.038,40.959,18.0,3.0,18.0,0.3810000000000002,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,52.0,95.922,42.657,19.0,3.0,19.0,-0.11599999999999966,False,False,True,30.0
